time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-05T20:23:22.890Z,33.3388333,-116.3756667,8.68,0.8,ml,41,93,0.01402,0.17,ci,ci37253439,2015-10-05T21:02:44.380Z,"9km N of Borrego Springs, California",earthquake
2015-10-05T20:19:04.841Z,39.6004,-119.09,7.1,1.3,ml,11,183.93,0.253,0.1232,nn,nn00513651,2015-10-05T21:31:38.594Z,"13km E of Fernley, Nevada",earthquake
2015-10-05T19:40:13.520Z,47.5583333,-122.7916667,12.756,-0.06,md,4,202,0.01096,0.02,uw,uw61088361,2015-10-05T22:53:33.670Z,"7km WSW of Erlands Point-Kitsap Lake, Washington",earthquake
2015-10-05T19:18:38.900Z,35.4715,-118.3466667,3.68,1.11,ml,23,98,0.1804,0.18,ci,ci37253415,2015-10-05T20:04:29.622Z,"18km SE of Bodfish, California",earthquake
2015-10-05T19:16:13.390Z,36.1876667,-117.8785,-1.18,1.02,ml,11,264,0.1699,0.19,ci,ci37253423,2015-10-05T20:10:55.236Z,"15km SE of Olancha, California",earthquake
2015-10-05T19:05:13.000Z,60.514,-142.9912,10.8,0.7,ml,,,,0.82,ak,ak11731392,2015-10-05T19:45:21.034Z,"58km NNW of Cape Yakataga, Alaska",earthquake
2015-10-05T19:05:05.040Z,37.4856667,-118.7485,3.11,0.7,md,13,155,0.1223,0.02,nc,nc72535776,2015-10-05T22:09:16.390Z,"26km SE of Mammoth Lakes, California",earthquake
2015-10-05T19:02:06.690Z,45.998,-112.457,-2,1.54,ml,7,95,0.176,0.07,mb,mb80100489,2015-10-05T21:18:20.080Z,"6km E of Butte, Montana",quarry blast
2015-10-05T19:01:14.000Z,63.4754,-151.6385,18.7,1,ml,,,,0.21,ak,ak11731390,2015-10-05T19:45:23.283Z,"134km W of Cantwell, Alaska",earthquake
2015-10-05T18:54:22.240Z,36.8871651,-121.6203308,0.01,1.66,md,4,158,0.0229,0.08,nc,nc72535771,2015-10-05T18:55:56.450Z,"2km E of Aromas, California",earthquake
2015-10-05T18:53:07.170Z,36.295,-97.5491,3.64,2.8,mb_lg,,30,0.408,0.65,us,us10003khd,2015-10-05T21:13:42.403Z,"23km W of Perry, Oklahoma",earthquake
2015-10-05T18:46:56.700Z,19.3029995,-155.2198334,0.89,1.73,md,42,137,0.02213,0.18,hv,hv61053611,2015-10-05T18:50:16.390Z,"14km S of Volcano, Hawaii",earthquake
2015-10-05T18:40:25.000Z,63.5427,-150.794,13.2,0.8,ml,,,,0.64,ak,ak11731389,2015-10-05T19:07:53.934Z,"93km W of Cantwell, Alaska",earthquake
2015-10-05T18:38:50.000Z,60.2352,-141.3874,0.7,0.8,ml,,,,0.76,ak,ak11731388,2015-10-05T19:07:54.939Z,"60km ENE of Cape Yakataga, Alaska",earthquake
2015-10-05T18:30:20.820Z,33.0513333,-116.4343333,6.25,1.8,ml,53,40,0.1402,0.18,ci,ci37253399,2015-10-05T20:00:02.990Z,"16km E of Julian, California",earthquake
2015-10-05T18:18:45.591Z,38.0666,-118.7809,6.1,0.9,ml,14,171.2,0.003,0.0949,nn,nn00513630,2015-10-05T19:24:25.018Z,"44km ESE of Bridgeport, California",earthquake
2015-10-05T18:17:41.520Z,36.1365,-117.994,3.02,0.67,ml,14,111,0.1142,0.14,ci,ci37253391,2015-10-05T19:59:41.958Z,"11km NNW of Coso Junction, California",earthquake
2015-10-05T18:08:53.535Z,41.9055,-119.644,10.1,1.5,ml,6,204.3,0.121,0.0989,nn,nn00513628,2015-10-05T19:09:02.869Z,"66km ESE of Lakeview, Oregon",earthquake
2015-10-05T17:46:41.510Z,38.8213348,-122.7594986,2.69,1.77,md,9,98,0.05826,0.04,nc,nc72535756,2015-10-05T17:48:15.970Z,"3km W of Cobb, California",earthquake
2015-10-05T17:35:54.100Z,51.9272,-179.2852,84.74,5.7,mwb,,33,1.039,0.97,us,us10003kgq,2015-10-05T22:38:27.076Z,"74km N of Amatignak Island, Alaska",earthquake
2015-10-05T17:30:53.180Z,-31.0848,-72.7528,10,4.7,mb,,85,1.044,1.15,us,us10003kgn,2015-10-05T20:31:09.484Z,"158km WSW of Ovalle, Chile",earthquake
2015-10-05T17:29:29.750Z,46.7995,-112.0171667,1.53,0.79,md,8,171,0.155,0.05,mb,mb80100454,2015-10-05T21:12:38.810Z,"8km NNE of Helena Valley Northwest, Montana",earthquake
2015-10-05T17:16:46.110Z,46.0926667,-122.1646667,1.845,1.23,ml,10,134,0.04345,0.16,uw,uw61088291,2015-10-05T23:09:12.040Z,"29km NE of Amboy, Washington",earthquake
2015-10-05T16:56:20.000Z,63.4385,-150.3309,7.9,1,ml,,,,0.4,ak,ak11731294,2015-10-05T17:47:47.693Z,"69km W of Cantwell, Alaska",earthquake
2015-10-05T16:48:37.000Z,63.5517,-150.787,12,0.9,ml,,,,0.65,ak,ak11731266,2015-10-05T21:04:13.252Z,"93km WNW of Cantwell, Alaska",earthquake
2015-10-05T16:33:26.760Z,-30.3093,-71.5268,34,5.9,mwb,,30,0.375,0.77,us,us10003kg9,2015-10-05T23:03:43.307Z,"43km SSW of Coquimbo, Chile",earthquake
2015-10-05T16:31:18.170Z,33.7043333,-116.8008333,16.66,0.57,ml,28,53,0.07257,0.15,ci,ci37253343,2015-10-05T19:58:33.549Z,"9km WSW of Idyllwild, California",earthquake
2015-10-05T16:23:24.000Z,62.7207,-150.9384,94.6,1.6,ml,,,,0.28,ak,ak11731256,2015-10-05T17:07:47.099Z,"61km NW of Talkeetna, Alaska",earthquake
2015-10-05T16:20:27.920Z,46.7956667,-112.0003333,4.47,1.5,ml,11,173,0.144,0.1,mb,mb80100414,2015-10-05T16:39:10.950Z,"8km NNE of Helena Valley Northwest, Montana",earthquake
2015-10-05T16:06:53.394Z,41.8656,-119.6247,7.9,2.9,ml,5,76.24,0.154,0.1768,nn,nn00513612,2015-10-05T20:25:45.040Z,"69km ESE of Lakeview, Oregon",earthquake
2015-10-05T16:02:06.540Z,35.4726667,-118.3426667,0.61,1.43,ml,20,82,0.177,0.15,ci,ci37253327,2015-10-05T16:37:49.239Z,"19km SE of Bodfish, California",earthquake
2015-10-05T15:58:06.430Z,37.477,-118.8171667,6.23,1.12,md,24,167,0.07672,0.04,nc,nc72535696,2015-10-05T21:40:10.340Z,"23km SE of Mammoth Lakes, California",earthquake
2015-10-05T15:34:36.480Z,41.8558333,-112.792,6.62,1.01,md,12,203,0.077,0.15,uu,uu60125492,2015-10-05T16:54:26.770Z,"44km E of Park Valley, Utah",earthquake
2015-10-05T15:26:43.000Z,60.0565,-140.4574,18.5,1.3,ml,,,,1.13,ak,ak11731226,2015-10-05T16:27:11.160Z,"70km NW of Yakutat, Alaska",earthquake
2015-10-05T15:25:28.000Z,61.3059,-150.9439,60.4,1.4,ml,,,,0.81,ak,ak11731224,2015-10-05T15:47:34.810Z,"56km W of Anchorage, Alaska",earthquake
2015-10-05T15:00:39.000Z,61.7808,-152.0124,104.3,2.4,ml,,,,0.62,ak,ak11731215,2015-10-05T15:47:34.023Z,"104km W of Willow, Alaska",earthquake
2015-10-05T14:59:23.300Z,46.8078333,-111.9878333,7,1.48,ml,17,182,0.145,0.14,mb,mb80100409,2015-10-05T16:45:48.560Z,"10km NNE of Helena Valley Northwest, Montana",earthquake
2015-10-05T14:41:25.828Z,41.8729,-119.6079,5.8,1.5,ml,5,221.76,0.161,0.1085,nn,nn00513601,2015-10-05T18:04:19.100Z,"70km ESE of Lakeview, Oregon",earthquake
2015-10-05T14:28:20.000Z,57.1995,-154.2876,14.7,2.6,ml,,,,0.5,ak,ak11731214,2015-10-05T22:30:51.752Z,"42km SSW of Larsen Bay, Alaska",earthquake
2015-10-05T14:27:14.550Z,33.4796667,-116.4596667,4.54,1.18,ml,48,86,0.05204,0.18,ci,ci37253311,2015-10-05T19:51:11.636Z,"22km ESE of Anza, California",earthquake
2015-10-05T14:26:05.730Z,46.8168333,-111.9806667,5.7,-0.19,md,6,189,0.147,0.09,mb,mb80100404,2015-10-05T15:05:00.970Z,"11km NNE of Helena Valley Northwest, Montana",earthquake
2015-10-05T14:22:36.000Z,60.6172,-143.2497,26.8,0.7,ml,,,,0.34,ak,ak11731213,2015-10-05T15:05:03.604Z,"76km NW of Cape Yakataga, Alaska",earthquake
2015-10-05T14:02:58.320Z,37.9285,-116.1774,16.4,1.5,ml,8,127.33,0.443,0.0758,nn,nn00513600,2015-10-05T23:01:59.199Z,"33km SSE of Warm Springs, Nevada",earthquake
2015-10-05T14:00:45.000Z,63.6336,-150.825,0.7,3,ml,,,,1.05,ak,ak11731206,2015-10-05T22:03:16.473Z,"95km WSW of Healy, Alaska",earthquake
2015-10-05T13:28:20.140Z,43.427,-110.4315,11.71,1.37,ml,7,233,0.224,0.07,mb,mb80100394,2015-10-05T15:02:02.510Z,"27km ESE of Jackson, Wyoming",earthquake
2015-10-05T13:27:06.070Z,43.4158333,-110.4291667,8.18,1.91,ml,8,151,0.234,0.09,mb,mb80100389,2015-10-05T14:59:28.460Z,"27km ESE of Jackson, Wyoming",earthquake
2015-10-05T13:25:32.700Z,19.1802,-64.5077,71,3.4,Md,7,273.6,0.47790373,0.21,pr,pr15278002,2015-10-05T21:28:16.839Z,"85km N of Road Town, British Virgin Islands",earthquake
2015-10-05T13:25:28.000Z,61.7359,-149.7917,26.2,1.9,ml,,,,0.64,ak,ak11731198,2015-10-05T13:47:16.642Z,"11km N of Houston, Alaska",earthquake
2015-10-05T13:17:59.580Z,43.4218333,-110.4068333,10.95,1.13,ml,8,153,0.238,0.17,mb,mb80100384,2015-10-05T14:56:54.760Z,"29km ESE of Jackson, Wyoming",earthquake
2015-10-05T13:11:24.000Z,59.6533,-153.9755,200,2.5,ml,,,,,ak,ak11731192,2015-10-05T21:14:09.035Z,"54km E of Old Iliamna, Alaska",earthquake
2015-10-05T13:02:41.000Z,63.0053,-150.7051,108,1.8,ml,,,,0.37,ak,ak11731186,2015-10-05T13:47:17.922Z,"81km NNW of Talkeetna, Alaska",earthquake
2015-10-05T13:00:20.000Z,58.2697,-155.6868,16.2,1.6,ml,,,,0.61,ak,ak11731181,2015-10-05T13:47:17.249Z,"73km SE of King Salmon, Alaska",earthquake
2015-10-05T12:59:24.000Z,63.6341,-150.8206,14.6,3,ml,,,,0.92,ak,ak11731176,2015-10-05T21:01:54.839Z,"94km WSW of Healy, Alaska",earthquake
2015-10-05T12:54:40.000Z,60.0338,-152.2253,52.7,2.1,ml,,,,0.67,ak,ak11731170,2015-10-05T13:47:18.609Z,"36km NW of Anchor Point, Alaska",earthquake
2015-10-05T12:36:12.000Z,65.1653,-148.9836,12.4,1.3,ml,,,,0.56,ak,ak11731167,2015-10-05T13:07:26.802Z,"57km NW of Ester, Alaska",earthquake
2015-10-05T12:28:11.437Z,40.1031,-117.4555,4.5,2,ml,7,132.74,0.374,0.1575,nn,nn00513632,2015-10-05T18:50:38.172Z,"74km SW of Battle Mountain, Nevada",earthquake
2015-10-05T12:24:52.390Z,33.4926667,-116.4821667,13.09,0.59,ml,19,155,0.05626,0.14,ci,ci37253303,2015-10-05T13:14:51.435Z,"19km ESE of Anza, California",earthquake
2015-10-05T12:20:13.000Z,61.1681,-147.4039,0,1.5,ml,,,,0.99,ak,ak11731164,2015-10-05T13:07:28.066Z,"56km W of Valdez, Alaska",earthquake
2015-10-05T12:15:25.000Z,61.0661,-147.4133,6.9,1.4,ml,,,,0.89,ak,ak11731163,2015-10-05T13:07:27.413Z,"57km W of Valdez, Alaska",earthquake
2015-10-05T11:59:35.000Z,61.7582,-147.2548,41.8,1.2,ml,,,,0.61,ak,ak11731162,2015-10-05T12:26:59.876Z,"84km E of Sutton-Alpine, Alaska",earthquake
2015-10-05T11:44:34.870Z,37.4886667,-118.8591667,6.83,0.62,md,12,292,0.104,0.03,nc,nc72535686,2015-10-05T21:27:07.530Z,"20km SSE of Mammoth Lakes, California",earthquake
2015-10-05T11:32:39.000Z,60.4433,-143.1347,0.4,0.8,ml,,,,0.31,ak,ak11731138,2015-10-05T12:26:56.901Z,"57km NW of Cape Yakataga, Alaska",earthquake
2015-10-05T11:29:46.000Z,60.8745,-151.0493,14.3,1.3,ml,,,,0.56,ak,ak11731139,2015-10-05T11:49:11.755Z,"24km NNE of Nikiski, Alaska",earthquake
2015-10-05T11:25:54.672Z,36.0186,-113.5963,0,1.4,ml,5,222.63,1.033,0.3112,nn,nn00513595,2015-10-05T15:04:33.820Z,"42km E of Meadview, Arizona",earthquake
2015-10-05T11:23:46.000Z,66.7975,-146.4317,0.1,1.9,ml,,,,1.01,ak,ak11731136,2015-10-05T11:49:12.365Z,"57km WNW of Fort Yukon, Alaska",earthquake
2015-10-05T11:20:19.000Z,60.064,-141.1167,2.8,1,ml,,,,0.21,ak,ak11731135,2015-10-05T11:49:14.382Z,"73km E of Cape Yakataga, Alaska",earthquake
2015-10-05T11:06:24.000Z,65.0857,-148.6826,18.7,0.7,ml,,,,0.3,ak,ak11731133,2015-10-05T11:49:13.619Z,"41km NW of Ester, Alaska",earthquake
2015-10-05T10:38:50.740Z,36.7138329,-121.3550034,4.01,1.1,md,8,92,0.01064,0.03,nc,nc72535661,2015-10-05T10:40:25.020Z,"10km S of Ridgemark, California",earthquake
2015-10-05T10:30:16.000Z,63.4488,-147.656,0.2,1.4,ml,,,,0.74,ak,ak11731113,2015-10-05T11:09:25.794Z,"64km E of Cantwell, Alaska",earthquake
2015-10-05T10:19:20.630Z,33.5975,-116.7388333,11.93,0.93,ml,40,46,0.02143,0.15,ci,ci37253295,2015-10-05T13:16:14.840Z,"8km NW of Anza, California",earthquake
2015-10-05T10:17:01.000Z,61.6291,-150.9973,60.6,1.2,ml,,,,0.32,ak,ak11731111,2015-10-05T11:09:25.181Z,"52km WSW of Willow, Alaska",earthquake
2015-10-05T10:03:19.050Z,36.6563339,-121.2929993,8.72,1.47,md,13,63,0.01877,0.08,nc,nc72535651,2015-10-05T10:04:54.780Z,"18km SSE of Ridgemark, California",earthquake
2015-10-05T09:56:23.850Z,33.5878333,-116.7465,11.54,1.58,ml,66,22,0.01581,0.18,ci,ci37253287,2015-10-05T13:21:23.000Z,"8km WNW of Anza, California",earthquake
2015-10-05T09:43:41.000Z,61.2124,-151.6431,62.2,1.4,ml,,,,0.82,ak,ak11731105,2015-10-05T10:31:47.860Z,"61km NNW of Nikiski, Alaska",earthquake
2015-10-05T09:32:15.430Z,46.9576667,-114.3093333,12.98,-0.31,md,9,116,0.117,0.11,mb,mb80100419,2015-10-05T16:53:56.910Z,"8km SW of Frenchtown, Montana",earthquake
2015-10-05T09:23:45.098Z,41.8756,-119.6228,7.7,1,ml,6,179.56,0.15,0.1832,nn,nn00513657,2015-10-05T20:54:51.367Z,"69km ESE of Lakeview, Oregon",earthquake
2015-10-05T09:22:20.810Z,37.5779991,-121.6876678,6.16,1.28,md,8,120,0.07049,0.05,nc,nc72535636,2015-10-05T09:23:54.460Z,"13km SSE of Livermore, California",earthquake
2015-10-05T09:14:09.000Z,62.8235,-150.7976,95.4,1,ml,,,,0.52,ak,ak11731087,2015-10-05T09:55:47.873Z,"65km NNW of Talkeetna, Alaska",earthquake
2015-10-05T09:09:44.000Z,60.3832,-150.9866,54.1,1.3,ml,,,,0.26,ak,ak11731086,2015-10-05T09:55:47.241Z,"12km SSE of Soldotna, Alaska",earthquake
2015-10-05T08:46:06.000Z,61.5394,-151.8455,13.6,1.4,ml,,,,0.24,ak,ak11731085,2015-10-05T09:16:48.277Z,"98km WSW of Willow, Alaska",earthquake
2015-10-05T08:45:00.790Z,34.5258333,-116.5251667,1.7,1.71,ml,36,50,0.1434,0.18,ci,ci37253279,2015-10-05T13:21:29.140Z,"40km WSW of Ludlow, California",earthquake
2015-10-05T08:42:40.465Z,40.0849,-119.6784,16.2,0.4,ml,7,247.98,0.18,0.0614,nn,nn00513650,2015-10-05T20:33:21.024Z,"48km N of Spanish Springs, Nevada",earthquake
2015-10-05T08:21:17.165Z,41.8666,-119.6468,8,1.5,ml,5,207.62,0.141,0.129,nn,nn00513584,2015-10-05T16:06:07.991Z,"68km ESE of Lakeview, Oregon",earthquake
2015-10-05T08:18:31.000Z,63.4576,-150.6221,15.8,2.9,ml,,,,1.06,ak,ak11731070,2015-10-05T16:21:04.953Z,"83km W of Cantwell, Alaska",earthquake
2015-10-05T08:14:31.000Z,64.8142,-147.3352,13.5,0.7,ml,,,,0.31,ak,ak11731067,2015-10-05T08:40:02.063Z,"7km N of North Pole, Alaska",earthquake
2015-10-05T08:11:47.880Z,33.7196667,-116.7698333,16.51,0.88,ml,36,53,0.04717,0.15,ci,ci37253271,2015-10-05T13:21:35.400Z,"5km WSW of Idyllwild, California",earthquake
2015-10-05T08:10:42.721Z,38.1631,-118.2147,7.2,1.1,ml,13,86.35,0.245,0.0963,nn,nn00513583,2015-10-05T16:02:59.217Z,"53km SE of Hawthorne, Nevada",earthquake
2015-10-05T07:51:02.510Z,37.5943333,-118.8238333,5.92,1.24,md,25,71,0.006004,0.02,nc,nc72535631,2015-10-05T21:14:35.170Z,"14km ESE of Mammoth Lakes, California",earthquake
2015-10-05T07:33:22.140Z,27.6148,86.075,10,4.5,mb,,155,0.68,0.65,us,us10003kcl,2015-10-05T15:36:00.335Z,"32km N of Ramechhap, Nepal",earthquake
2015-10-05T07:20:35.553Z,36.7102,-116.2943,6,0.1,ml,9,93.27,0.068,0.0858,nn,nn00513649,2015-10-05T20:17:17.412Z,"46km ESE of Beatty, Nevada",earthquake
2015-10-05T07:16:43.840Z,39.4177,-119.9361,7.5,0.5,ml,17,54.82,0.097,0.1321,nn,nn00513648,2015-10-05T20:07:53.665Z,"10km S of Mogul, Nevada",earthquake
2015-10-05T07:13:45.000Z,64.804,-149.1078,22.8,0.8,ml,,,,0.29,ak,ak11731049,2015-10-05T08:01:40.614Z,"25km N of North Nenana, Alaska",earthquake
2015-10-05T06:52:51.290Z,36.7341,-98.125,5.65,3.5,mb_lg,,79,0.097,0.73,us,us10003kcc,2015-10-05T20:38:54.338Z,"20km E of Cherokee, Oklahoma",earthquake
2015-10-05T06:37:04.000Z,60.0932,-147.8706,20.8,1.4,ml,,,,0.24,ak,ak11731036,2015-10-05T07:25:10.585Z,"85km E of Bear Creek, Alaska",earthquake
2015-10-05T06:29:22.000Z,60.9003,-151.5648,90.3,1.7,ml,,,,0.55,ak,ak11731034,2015-10-05T07:25:09.927Z,"27km NNW of Nikiski, Alaska",earthquake
2015-10-05T06:22:49.000Z,17.9867,-65.4572,21,2.1,Md,4,266.4,0.14193381,0.07,pr,pr15278001,2015-10-05T07:27:30.280Z,"12km S of Esperanza, Puerto Rico",earthquake
2015-10-05T06:14:41.750Z,34.2235,-117.4665,10.23,0.62,ml,13,84,0.05893,0.15,ci,ci37253263,2015-10-05T13:22:40.125Z,"5km SE of Lytle Creek, California",earthquake
2015-10-05T06:04:49.000Z,62.9379,-150.9648,103.5,2.9,ml,,,,0.67,ak,ak11731018,2015-10-05T07:10:20.171Z,"81km NNW of Talkeetna, Alaska",earthquake
2015-10-05T06:00:03.000Z,63.6314,-149.5211,10.5,1,ml,,,,0.32,ak,ak11731016,2015-10-05T06:49:35.355Z,"37km SW of Healy, Alaska",earthquake
2015-10-05T05:59:32.090Z,39.9307,-120.7145,9.1,0.4,ml,7,173.11,0.058,0.0669,nn,nn00513646,2015-10-05T19:43:00.082Z,"15km E of East Quincy, California",earthquake
2015-10-05T05:59:05.150Z,46.3031667,-122.4841667,19.251,1.57,ml,27,102,0.09855,0.11,uw,uw61088091,2015-10-05T22:51:59.100Z,"32km E of Castle Rock, Washington",earthquake
2015-10-05T05:58:18.000Z,64.6284,-149.2576,14.4,1.2,ml,,,,0.63,ak,ak11731011,2015-10-05T06:49:37.363Z,"8km NW of North Nenana, Alaska",earthquake
2015-10-05T05:56:50.000Z,59.3595,-153.4313,0.1,0.7,ml,,,,0.3,ak,ak11731017,2015-10-05T06:49:36.022Z,"94km ESE of Old Iliamna, Alaska",earthquake
2015-10-05T05:55:59.190Z,33.705,-116.8083333,15.88,0.59,ml,19,135,0.07874,0.13,ci,ci37253255,2015-10-05T19:34:13.584Z,"9km WSW of Idyllwild, California",earthquake
2015-10-05T05:54:56.000Z,65.4159,-148.2429,13.7,1.1,ml,,,,0.6,ak,ak11731009,2015-10-05T06:49:36.682Z,"64km N of Ester, Alaska",earthquake
2015-10-05T05:40:46.000Z,62.5492,-151.2649,99.4,1.3,ml,,,,0.49,ak,ak11730994,2015-10-05T06:12:05.815Z,"64km WNW of Talkeetna, Alaska",earthquake
2015-10-05T05:30:34.380Z,33.9688333,-116.6625,15.9,0.9,ml,30,70,0.07055,0.16,ci,ci37253247,2015-10-05T13:23:28.457Z,"12km SW of Morongo Valley, California",earthquake
2015-10-05T05:27:41.080Z,44.6236667,-110.3465,3,0.75,md,6,139,0.113,0.1,uu,uu60125442,2015-10-05T20:41:12.110Z,"42km ENE of Old Faithful Geyser, Wyoming",earthquake
2015-10-05T05:13:27.000Z,60.036,-141.4401,2.8,1,ml,,,,1.2,ak,ak11730993,2015-10-05T06:12:05.170Z,"55km E of Cape Yakataga, Alaska",earthquake
2015-10-05T05:02:39.490Z,33.9688333,-116.555,8.28,0.73,ml,22,101,0.1039,0.18,ci,ci37253239,2015-10-05T13:23:46.906Z,"5km W of Desert Hot Springs, California",earthquake
2015-10-05T04:57:56.000Z,62.0439,-147.7736,26.6,2.2,ml,,,,0.76,ak,ak11730991,2015-10-05T07:13:05.500Z,"62km ENE of Sutton-Alpine, Alaska",earthquake
2015-10-05T04:57:51.000Z,65.1322,-148.6689,15.5,2,ml,,,,0.77,ak,ak11730987,2015-10-05T05:33:05.498Z,"44km NW of Ester, Alaska",earthquake
2015-10-05T04:41:49.712Z,41.7735,-119.7734,1.8,2.4,ml,8,72.5,0.185,0.218,nn,nn00513578,2015-10-05T04:52:30.047Z,"66km SE of Lakeview, Oregon",earthquake
2015-10-05T04:30:47.000Z,60.8695,-147.4383,25.2,1.5,ml,,,,0.85,ak,ak11730971,2015-10-05T04:56:03.421Z,"65km WSW of Valdez, Alaska",earthquake
2015-10-05T04:19:04.000Z,60.1225,-141.2722,7.3,1.6,ml,,,,1.02,ak,ak11730967,2015-10-05T04:56:02.785Z,"64km E of Cape Yakataga, Alaska",earthquake
2015-10-05T04:11:39.150Z,34.046,-117.1261667,8.59,0.83,ml,18,62,0.01552,0.15,ci,ci37253223,2015-10-05T13:25:21.472Z,"3km SSE of Mentone, California",earthquake
